STALPBR,YEAR,DEPSUMBR,ASSET,CERT,ID
GA,1994,4381,237123,10071,1994_10071_5
GA,1994,17220,237123,10071,1994_10071_7
GA,1994,7414,237123,10071,1994_10071_8
GA,1994,6629,237123,10071,1994_10071_9
GA,1994,50764,58269,10072,1994_10072_0
GA,1994,82294,148310,10073,1994_10073_0
GA,1994,14602,148310,10073,1994_10073_1
GA,1994,6343,148310,10073,1994_10073_2
GA,1994,13082,148310,10073,1994_10073_4
GA,1994,2678,148310,10073,1994_10073_5
GA,1994,8778,148310,10073,1994_10073_7
GA,1994,0,148310,10073,1994_10073_8
GA,1994,18231,21758,10074,1994_10074_0
IL,1994,15658,16992,10075,1994_10075_0
IL,1994,22762,28026,10077,1994_10077_0
IL,1994,27568,32171,10080,1994_10080_0
IL,1994,49999,66436,10082,1994_10082_0
IL,1994,5555,66436,10082,1994_10082_1
IL,1994,68642,79817,10083,1994_10083_0
IL,1994,13312,14834,10084,1994_10084_0
IL,1994,87561,96628,10086,1994_10086_0
MI,1994,15704,36760,1008,1994_1008_0
MI,1994,3622,36760,1008,1994_1008_1
MI,1994,13987,36760,1008,1994_1008_2
MI,1994,332,36760,1008,1994_1008_3
IN,1994,54297,86661,10092,1994_10092_0
IN,1994,14311,86661,10092,1994_10092_1
IN,1994,8936,86661,10092,1994_10092_2
IN,1994,52198,73424,10093,1994_10093_0
IN,1994,0,73424,10093,1994_10093_1
IN,1994,9911,73424,10093,1994_10093_2
IN,1994,3965,73424,10093,1994_10093_3
IN,1994,105448,174013,10099,1994_10099_0
IN,1994,565,174013,10099,1994_10099_1
IN,1994,8043,174013,10099,1994_10099_2
IN,1994,0,174013,10099,1994_10099_3
IN,1994,33544,174013,10099,1994_10099_5
IN,1994,6597,174013,10099,1994_10099_6
AR,1994,200649,398764,100,1994_100_0
AR,1994,81680,398764,100,1994_100_1
AR,1994,2867,398764,100,1994_100_2
AR,1994,14402,398764,100,1994_100_3
AR,1994,8641,398764,100,1994_100_5
AR,1994,6715,398764,100,1994_100_6
AR,1994,4201,398764,100,1994_100_7
AR,1994,8641,398764,100,1994_100_8
IN,1994,336487,517100,10100,1994_10100_0
IN,1994,16137,517100,10100,1994_10100_1
IN,1994,1327,517100,10100,1994_10100_10
IN,1994,16339,517100,10100,1994_10100_11
IN,1994,7963,517100,10100,1994_10100_12
IN,1994,11522,517100,10100,1994_10100_13
IN,1994,7469,517100,10100,1994_10100_14
IN,1994,3109,517100,10100,1994_10100_15
IN,1994,521,517100,10100,1994_10100_16
IN,1994,606,517100,10100,1994_10100_17
IN,1994,32387,517100,10100,1994_10100_2
IN,1994,22949,517100,10100,1994_10100_3
IN,1994,12853,517100,10100,1994_10100_4
IN,1994,33714,42463,10101,1994_10101_0
IN,1994,4701,42463,10101,1994_10101_1
IN,1994,27990,43773,10106,1994_10106_0
IN,1994,3141,43773,10106,1994_10106_1
IN,1994,4652,43773,10106,1994_10106_2
IA,1994,12844,15081,10111,1994_10111_0
IA,1994,38125,116459,10112,1994_10112_0
IA,1994,0,116459,10112,1994_10112_1
IA,1994,35293,116459,10112,1994_10112_6
IA,1994,4888,116459,10112,1994_10112_7
IA,1994,14451,116459,10112,1994_10112_8
IA,1994,9215,116459,10112,1994_10112_9
IA,1994,24033,29999,10113,1994_10113_0
IA,1994,1080,29999,10113,1994_10113_1
IA,1994,1444,29999,10113,1994_10113_2
IA,1994,0,29999,10113,1994_10113_3
IA,1994,255,29999,10113,1994_10113_4
IA,1994,11388,60303,10114,1994_10114_0
IA,1994,10722,60303,10114,1994_10114_1
IA,1994,8992,60303,10114,1994_10114_2
IA,1994,22997,60303,10114,1994_10114_3
IA,1994,10244,13785,10118,1994_10118_0
IA,1994,12633,14278,10119,1994_10119_0
MI,1994,93201,225591,1011,1994_1011_0
MI,1994,11369,225591,1011,1994_1011_1
MI,1994,31891,225591,1011,1994_1011_2
MI,1994,22012,225591,1011,1994_1011_3
MI,1994,20129,225591,1011,1994_1011_4
MI,1994,0,225591,1011,1994_1011_5
MI,1994,6619,225591,1011,1994_1011_6
MI,1994,65,225591,1011,1994_1011_7
IA,1994,27844,33045,10120,1994_10120_0
IA,1994,48533,64991,10121,1994_10121_0
IA,1994,8238,64991,10121,1994_10121_1
IA,1994,44498,49003,10122,1994_10122_0
IA,1994,13927,16745,10123,1994_10123_0
IA,1994,37601,59130,10125,1994_10125_0
IA,1994,16369,59130,10125,1994_10125_1
IA,1994,15017,20143,10126,1994_10126_0
IA,1994,3143,20143,10126,1994_10126_1
IA,1994,39944,50949,10127,1994_10127_0
IA,1994,4438,50949,10127,1994_10127_1
IA,1994,56181,78007,10130,1994_10130_0
IA,1994,11164,78007,10130,1994_10130_1
IA,1994,3270,78007,10130,1994_10130_2
IA,1994,0,78007,10130,1994_10130_3
IA,1994,13206,15457,10131,1994_10131_0
IA,1994,14900,29373,10132,1994_10132_0
IA,1994,10741,29373,10132,1994_10132_1
KY,1994,22607,75622,10135,1994_10135_0
KY,1994,28886,75622,10135,1994_10135_1
KY,1994,11303,75622,10135,1994_10135_2
KY,1994,66579,102764,10136,1994_10136_0
KY,1994,9385,102764,10136,1994_10136_1
KY,1994,11764,102764,10136,1994_10136_2
KY,1994,4097,102764,10136,1994_10136_3
KY,1994,48196,123379,10137,1994_10137_0
KY,1994,21922,123379,10137,1994_10137_1
KY,1994,36983,123379,10137,1994_10137_2
KY,1994,41232,62360,10139,1994_10139_0
KY,1994,5140,62360,10139,1994_10139_1
KY,1994,7646,62360,10139,1994_10139_2
KY,1994,24751,27694,10142,1994_10142_0
KY,1994,404351,1740088,10143,1994_10143_0
KY,1994,18773,1740088,10143,1994_10143_1
KY,1994,5209,1740088,10143,1994_10143_10
KY,1994,65164,1740088,10143,1994_10143_11
KY,1994,13433,1740088,10143,1994_10143_12
KY,1994,15557,1740088,10143,1994_10143_13
KY,1994,9172,1740088,10143,1994_10143_14
KY,1994,50193,1740088,10143,1994_10143_16
KY,1994,4101,1740088,10143,1994_10143_17
KY,1994,46508,1740088,10143,1994_10143_19
KY,1994,28954,1740088,10143,1994_10143_2
KY,1994,52527,1740088,10143,1994_10143_20
KY,1994,35697,1740088,10143,1994_10143_21
KY,1994,63567,1740088,10143,1994_10143_22
KY,1994,11310,1740088,10143,1994_10143_23
KY,1994,46045,1740088,10143,1994_10143_24
KY,1994,64613,1740088,10143,1994_10143_25
KY,1994,40153,1740088,10143,1994_10143_26
KY,1994,18090,1740088,10143,1994_10143_27
KY,1994,15938,1740088,10143,1994_10143_28
KY,1994,28255,1740088,10143,1994_10143_29
KY,1994,27134,1740088,10143,1994_10143_30
KY,1994,0,1740088,10143,1994_10143_31
KY,1994,11360,1740088,10143,1994_10143_32
KY,1994,36196,1740088,10143,1994_10143_33
KY,1994,20522,1740088,10143,1994_10143_35
KY,1994,40251,1740088,10143,1994_10143_36
KY,1994,0,1740088,10143,1994_10143_37
KY,1994,3434,1740088,10143,1994_10143_38
KY,1994,0,1740088,10143,1994_10143_5
KY,1994,25548,28331,10145,1994_10145_0
KY,1994,69773,126062,10146,1994_10146_0
KY,1994,2168,126062,10146,1994_10146_1
KY,1994,3279,126062,10146,1994_10146_2
KY,1994,8535,126062,10146,1994_10146_3
MI,1994,81991,105201,1014,1994_1014_0
MI,1994,7528,105201,1014,1994_1014_1
MI,1994,46153,83131,10157,1994_10157_0
MI,1994,11181,83131,10157,1994_10157_1
MI,1994,13459,83131,10157,1994_10157_2
MI,1994,4054,83131,10157,1994_10157_3
MN,1994,76621,91064,10159,1994_10159_0
MN,1994,20462,24681,10160,1994_10160_0
MN,1994,29505,32782,10161,1994_10161_0
MN,1994,21753,28131,10162,1994_10162_0
MN,1994,2981,28131,10162,1994_10162_1
MN,1994,22935,27500,10163,1994_10163_0
MN,1994,1769,27500,10163,1994_10163_1
MN,1994,15868,33028,10164,1994_10164_0
MN,1994,5670,33028,10164,1994_10164_1
MN,1994,8584,33028,10164,1994_10164_2
MN,1994,48485,55141,10165,1994_10165_0
MN,1994,66386,76441,10166,1994_10166_0
MN,1994,2832,76441,10166,1994_10166_1
MN,1994,88939,107790,10167,1994_10167_0
MN,1994,5396,107790,10167,1994_10167_1
MN,1994,11265,16306,10168,1994_10168_0
MN,1994,3549,16306,10168,1994_10168_1
MN,1994,12182,20953,10169,1994_10169_0
MN,1994,4361,20953,10169,1994_10169_1
MN,1994,2820,20953,10169,1994_10169_2
MI,1994,132699,419596,1016,1994_1016_0
MI,1994,12207,419596,1016,1994_1016_1
MI,1994,18595,419596,1016,1994_1016_10
MI,1994,8031,419596,1016,1994_1016_11
MI,1994,40103,419596,1016,1994_1016_2
MI,1994,22177,419596,1016,1994_1016_3
MI,1994,30446,419596,1016,1994_1016_4
MI,1994,43511,419596,1016,1994_1016_5
MI,1994,13029,419596,1016,1994_1016_6
MI,1994,0,419596,1016,1994_1016_7
MI,1994,13633,419596,1016,1994_1016_8
MI,1994,19678,419596,1016,1994_1016_9
MN,1994,27225,30620,10170,1994_10170_0
MN,1994,47534,53278,10171,1994_10171_0
MN,1994,18071,20272,10172,1994_10172_0
MN,1994,23557,26561,10173,1994_10173_0
MN,1994,10803,12189,10174,1994_10174_0
MN,1994,59590,68011,10175,1994_10175_0
MN,1994,13691,15593,10176,1994_10176_0
MN,1994,9344,16910,10178,1994_10178_0
MN,1994,5561,16910,10178,1994_10178_1
MN,1994,31835,47750,10179,1994_10179_0
MN,1994,10153,47750,10179,1994_10179_1
MN,1994,25366,27771,10181,1994_10181_0
MN,1994,23598,28277,10184,1994_10184_0
